variation,accuracy,accuracy_female,accuracy_male,ROC,ROC_female,ROC_male
0.00,0.6538461538461539,0.5961538461538461,0.7115384615384616,0.7551775147928994,0.6523668639053254,0.8476331360946746
0.00,0.5961538461538461,0.5769230769230769,0.6153846153846154,0.6357248520710059,0.5562130177514792,0.7307692307692308
0.00,0.6153846153846154,0.5384615384615384,0.6923076923076923,0.7200443786982249,0.6642011834319527,0.7766272189349113
0.00,0.6538461538461539,0.5576923076923077,0.75,0.757396449704142,0.6997041420118343,0.8165680473372781
0.00,0.6634615384615384,0.6346153846153846,0.6923076923076923,0.757396449704142,0.75,0.7588757396449705
0.25,0.6730769230769231,0.6346153846153846,0.7115384615384616,0.7599852071005917,0.7322485207100591,0.7973372781065088
0.25,0.6730769230769231,0.6346153846153846,0.7115384615384616,0.735207100591716,0.6878698224852071,0.7928994082840237
0.25,0.6730769230769231,0.6153846153846154,0.7307692307692307,0.731508875739645,0.6494082840236687,0.8002958579881656
0.25,0.6923076923076923,0.6730769230769231,0.7115384615384616,0.8006656804733728,0.7662721893491125,0.8328402366863905
0.25,0.6634615384615384,0.6730769230769231,0.6538461538461539,0.7773668639053254,0.757396449704142,0.8032544378698224
0.50,0.625,0.6730769230769231,0.5769230769230769,0.7030325443786982,0.7218934911242604,0.6834319526627218
0.50,0.6826923076923077,0.6538461538461539,0.7115384615384616,0.7555473372781065,0.7366863905325445,0.7825443786982248
0.50,0.6923076923076923,0.6538461538461539,0.7307692307692307,0.7274408284023669,0.7026627218934912,0.742603550295858
0.50,0.5961538461538461,0.5576923076923077,0.6346153846153846,0.6906434911242604,0.6553254437869822,0.7152366863905326
0.50,0.7307692307692307,0.7115384615384616,0.75,0.7925295857988166,0.7588757396449705,0.8284023668639053
0.75,0.5673076923076923,0.5576923076923077,0.5769230769230769,0.6090976331360947,0.5857988165680472,0.6405325443786982
0.75,0.7019230769230769,0.7115384615384616,0.6923076923076923,0.7414940828402368,0.7307692307692308,0.7588757396449705
0.75,0.6826923076923077,0.6538461538461539,0.7115384615384616,0.6283284023668638,0.5428994082840237,0.7085798816568047
0.75,0.6538461538461539,0.6153846153846154,0.6923076923076923,0.6948964497041419,0.6479289940828402,0.7381656804733728
0.75,0.6634615384615384,0.6538461538461539,0.6730769230769231,0.7448224852071006,0.7692307692307693,0.7300295857988166
1.00,0.6634615384615384,0.6538461538461539,0.6730769230769231,0.7494452662721893,0.7943786982248521,0.7056213017751479
1.00,0.5865384615384616,0.5961538461538461,0.5769230769230769,0.7296597633136095,0.7130177514792899,0.7596153846153846
1.00,0.7211538461538461,0.7307692307692307,0.7115384615384616,0.7496301775147929,0.7810650887573964,0.7026627218934912
1.00,0.625,0.6538461538461539,0.5961538461538461,0.7067307692307693,0.7603550295857988,0.6582840236686391
